date,station_key,station_id,station_name,attendance_station,attendance_line_total,move_intervals_count,movements_per_8h_station,movements_per_8h_line,avg_active_move_hours,line_avg_active_move_hours,cache_rows,cache_expected_rows,cache_complete
2026-01-19,11,11,Armado (Line 1),9,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,12,12,Armado (Line 2),9,42,1,0.6303616960274856,0.7588907023337451,12.69112646027778,10.541702481527778,7,7,True
2026-01-19,13,13,Armado (Line 3),9,42,1,1.153410042762276,0.7588907023337451,6.935954867222223,10.541702481527778,7,7,True
2026-01-19,14,14,Estacion 1 (Line 1),11,42,1,0.6271273967692063,0.7588907023337451,12.756578713055553,10.541702481527778,7,7,True
2026-01-19,15,15,Estacion 1 (Line 2),11,42,1,0.6191171568903917,0.7588907023337451,12.921625432222221,10.541702481527778,7,7,True
2026-01-19,16,16,Estacion 1 (Line 3),11,42,2,0.8505775958603644,0.7588907023337451,9.40537352375,10.541702481527778,7,7,True
2026-01-19,17,17,Estacion 2 (Line 1),9,42,1,0.6297985085592205,0.7588907023337451,12.702475301666665,10.541702481527778,7,7,True
2026-01-19,18,18,Estacion 2 (Line 2),9,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,19,19,Estacion 2 (Line 3),9,42,1,1.0645217220673022,0.7588907023337451,7.515112030277778,10.541702481527778,7,7,True
2026-01-19,20,20,Estacion 3 (Line 1),8,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,21,21,Estacion 3 (Line 2),8,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,22,22,Estacion 3 (Line 3),8,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,23,23,Estacion 4 (Line 1),8,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,24,24,Estacion 4 (Line 2),8,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,25,25,Estacion 4 (Line 3),8,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,26,26,Estacion 5 (Line 1),13,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,27,27,Estacion 5 (Line 2),13,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,28,28,Estacion 5 (Line 3),13,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,29,29,Estacion 6 (Line 1),12,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
2026-01-19,30,30,Estacion 6 (Line 2),12,42,0,,0.7588907023337451,,10.541702481527778,7,7,True
